,State,Number.of.Vouchers.NUMERIC.x,Number.of.Vouchers.x,Percent.of.Vouchers.x,Annual.Cost.of.Vouchers.x,Number.of.Vouchers.Going.to.Rental.Households.with.Children.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Children.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Children.x,Number.of.Vouchers.Going.to.Rental.Households.with.Seniors.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Seniors.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Seniors.x,Number.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.x,Number.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.x,Number.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.x,Number.of.Vouchers.Going.to.Rental.Households.in.Poverty.x,Percent.of.Vouchers.Going.to.Rental.Households.in.Poverty.x,Cost.of.Vouchers.Going.to.Rental.Households.in.Poverty.x,Number.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.x,Number.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.x,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.x,Actual.Number.of.Vouchers.Available.2020.x,Estimated.Monthly.Expenditure.x,Estimated.Annual.Expenditure.x,AMI.x,Number.of.Vouchers.NUMERIC.y,Number.of.Vouchers.y,Percent.of.Vouchers.y,Annual.Cost.of.Vouchers.y,Number.of.Vouchers.Going.to.Rental.Households.with.Children.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Children.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Children.y,Number.of.Vouchers.Going.to.Rental.Households.with.Seniors.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Seniors.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Seniors.y,Number.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.y,Number.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.y,Number.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.y,Number.of.Vouchers.Going.to.Rental.Households.in.Poverty.y,Percent.of.Vouchers.Going.to.Rental.Households.in.Poverty.y,Cost.of.Vouchers.Going.to.Rental.Households.in.Poverty.y,Number.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.y,Number.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.y,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.y,Actual.Number.of.Vouchers.Available.2020.y,Estimated.Monthly.Expenditure.y,Estimated.Annual.Expenditure.y,AMI.y,Voucher_Gap,Eligible_HH,Actual_Vouchers_Avail
11,Georgia,109381,"109,381",2.8%,"$672,585,664 ","35,645",32.6%,"$237,606,608 ","38,345",35.1%,"$185,119,552 ","57,722",52.8%,"$337,796,384 ","4,842",4.4%,"$31,187,444 ","67,517",61.7%,"$411,025,600 ","96,382",88.1%,"$609,763,072 ","55,343",50.6%,"$277,948,608 ","309,105","$3,509,748,864 ","$182,070,656 ","$2,184,847,872 ","67,839","$51,218,445 ","$614,621,340 ",30,185442,"185,442",2.9%,"$1,020,267,712 ","61,422",33.1%,"$360,000,160 ","65,386",35.3%,"$301,580,128 ","93,405",50.4%,"$495,848,544 ","9,041",4.9%,"$51,910,476 ","110,535",4.9%,"$606,430,528 ","109,018",58.8%,"$669,775,936 ","77,489",41.8%,"$369,144,352 ","532,695","$5,688,488,832 ","$274,079,360 ","$3,288,952,320 ","67,839","$51,218,445 ","$614,621,340 ",50,241266,309105,67839
12,Hawaii,16916,"16,916",0.4%,"$151,918,144 ","4,109",24.3%,"$53,179,000 ","8,801",52.0%,"$55,958,220 ",329,1.9%,"$4,294,246 ",549,3.2%,"$7,969,101 ","11,739",69.4%,"$96,381,416 ","10,762",63.6%,"$102,109,376 ","7,435",44.0%,"$47,779,888 ","40,832","$700,961,952 ","$36,393,444 ","$436,721,328 ","13,717","$16,789,608 ","$201,475,296 ",30,28818,"28,818",0.5%,"$264,582,304 ","8,045",27.9%,"$100,717,888 ","13,258",46.0%,"$87,342,840 ",721,2.5%,"$9,613,182 ","1,047",3.6%,"$14,416,937 ","19,273",3.6%,"$157,167,264 ","11,962",41.5%,"$112,719,704 ","9,658",33.5%,"$64,143,932 ","73,018","$1,261,571,712 ","$64,741,152 ","$776,893,824 ","13,717","$16,789,608 ","$201,475,296 ",50,27115,40832,13717
13,Idaho,15204,"15,204",0.4%,"$87,041,536 ","3,787",24.9%,"$23,109,536 ","5,383",35.4%,"$30,526,368 ",137,0.9%,"$1,263,202 ","1,646",10.8%,"$9,154,308 ","2,596",17.1%,"$15,381,628 ","13,758",90.5%,"$81,732,152 ","6,883",45.3%,"$30,359,122 ","40,567","$457,528,272 ","$20,871,492 ","$250,457,904 ","7,625","$4,498,750 ","$53,985,000 ",30,27227,"27,227",0.4%,"$133,948,112 ","7,036",25.8%,"$34,747,940 ","9,510",34.9%,"$49,575,928 ",167,0.6%,"$1,331,768 ","3,034",11.1%,"$14,013,863 ","4,494",11.1%,"$21,622,258 ","16,108",59.2%,"$90,291,560 ","9,886",36.3%,"$41,069,180 ","72,396","$776,211,312 ","$31,819,618 ","$381,835,416 ","7,625","$4,498,750 ","$53,985,000 ",50,32942,40567,7625
14,Illinois,157524,"157,524",4.0%,"$1,075,478,272 ","41,989",26.7%,"$306,905,664 ","62,758",39.8%,"$340,879,232 ","57,278",36.4%,"$368,858,528 ","14,608",9.3%,"$99,403,728 ","83,546",53.0%,"$569,088,896 ","135,694",86.1%,"$973,726,080 ","84,015",53.3%,"$467,709,824 ","399,826","$4,762,768,896 ","$246,779,536 ","$2,961,354,432 ","111,768","$95,896,944 ","$1,150,763,328 ",30,255043,"255,043",3.9%,"$1,579,023,488 ","65,668",25.7%,"$429,864,768 ","108,420",42.5%,"$577,752,128 ","84,735",33.2%,"$507,353,952 ","26,896",10.5%,"$153,920,512 ","128,136",10.5%,"$790,071,872 ","146,131",57.3%,"$1,030,878,528 ","113,905",44.7%,"$604,784,128 ","640,165","$7,450,285,056 ","$353,500,448 ","$4,242,005,376 ","111,768","$95,896,944 ","$1,150,763,328 ",50,288058,399826,111768
15,Indiana,76652,"76,652",1.9%,"$433,930,240 ","21,966",28.7%,"$132,818,392 ","25,304",33.0%,"$115,420,992 ","19,488",25.4%,"$114,796,528 ","3,519",4.6%,"$20,156,012 ","26,774",34.9%,"$164,397,904 ","65,037",84.8%,"$386,370,112 ","34,609",45.2%,"$160,020,176 ","199,254","$1,916,421,312 ","$104,073,928 ","$1,248,887,136 ","43,050","$16,272,900 ","$195,274,800 ",30,132461,"132,461",2.1%,"$651,132,800 ","36,020",27.2%,"$191,457,648 ","48,787",36.8%,"$208,469,632 ","30,183",22.8%,"$158,536,032 ","5,983",4.5%,"$29,476,100 ","42,079",4.5%,"$226,524,128 ","73,037",55.1%,"$419,880,416 ","46,245",34.9%,"$202,429,248 ","340,049","$3,144,484,032 ","$151,934,880 ","$1,823,218,560 ","43,050","$16,272,900 ","$195,274,800 ",50,156204,199254,43050
16,Iowa,35939,"35,939",0.9%,"$195,013,664 ","7,495",20.9%,"$42,414,580 ","14,146",39.4%,"$64,924,856 ","3,755",10.4%,"$19,430,638 ","1,592",4.4%,"$9,254,602 ","7,251",20.2%,"$42,088,776 ","27,246",75.8%,"$161,202,208 ","14,650",40.8%,"$64,632,916 ","95,565","$902,914,176 ","$47,497,836 ","$569,974,032 ","23,603","$10,361,717 ","$124,340,604 ",30,61568,"61,568",1.0%,"$307,113,728 ","13,564",22.0%,"$69,085,296 ","25,163",40.9%,"$115,427,208 ","5,566",9.0%,"$27,140,728 ","2,834",4.6%,"$13,991,887 ","11,492",4.6%,"$60,504,156 ","31,451",51.1%,"$181,622,016 ","20,461",33.2%,"$86,910,104 ","162,579","$1,588,966,272 ","$72,613,592 ","$871,363,104 ","23,603","$10,361,717 ","$124,340,604 ",50,71962,95565,23603
17,Kansas,33122,"33,122",0.8%,"$173,558,304 ","7,602",23.0%,"$45,544,384 ","12,236",36.9%,"$56,098,548 ","4,807",14.5%,"$26,494,966 ","2,577",7.8%,"$11,809,757 ","9,817",29.6%,"$52,707,156 ","27,100",81.8%,"$149,936,544 ","12,515",37.8%,"$54,646,460 ","86,368","$791,244,720 ","$42,123,236 ","$505,478,832 ","13,749","$7,163,229 ","$85,958,748 ",30,58277,"58,277",0.9%,"$282,953,984 ","14,017",24.1%,"$74,635,744 ","22,535",38.7%,"$106,199,520 ","7,506",12.9%,"$35,958,292 ","4,649",8.0%,"$20,186,294 ","15,910",8.0%,"$75,803,512 ","30,686",52.7%,"$166,603,248 ","16,289",28.0%,"$68,780,088 ","152,167","$1,361,996,832 ","$66,381,144 ","$796,573,728 ","13,749","$7,163,229 ","$85,958,748 ",50,72619,86368,13749
18,Kentucky,54229,"54,229",1.4%,"$239,342,576 ","16,402",30.2%,"$86,743,616 ","18,396",33.9%,"$62,371,592 ","10,284",19.0%,"$49,271,972 ",740,1.4%,"$4,415,634 ","12,875",23.7%,"$64,532,652 ","51,082",94.2%,"$228,772,688 ","30,364",56.0%,"$114,603,912 ","137,666","$1,192,242,048 ","$60,491,448 ","$725,897,376 ","38,255","$19,548,305 ","$234,579,660 ",30,88310,"88,310",1.4%,"$351,014,176 ","25,654",29.1%,"$119,770,552 ","32,099",36.3%,"$102,971,656 ","15,104",17.1%,"$66,809,032 ","1,406",1.6%,"$6,745,362 ","19,495",1.6%,"$88,150,104 ","59,090",66.9%,"$259,639,936 ","40,467",45.8%,"$147,412,992 ","223,316","$1,915,566,336 ","$87,142,912 ","$1,045,714,944 ","38,255","$19,548,305 ","$234,579,660 ",50,99411,137666,38255
19,Louisiana,63239,"63,239",1.6%,"$338,973,152 ","21,008",33.2%,"$122,585,936 ","20,499",32.4%,"$82,167,944 ","37,611",59.5%,"$187,920,960 ","1,350",2.1%,"$7,883,465 ","40,772",64.5%,"$207,371,456 ","60,457",95.6%,"$327,612,672 ","32,671",51.7%,"$149,953,584 ","162,877","$1,594,921,920 ","$86,920,896 ","$1,043,050,752 ","57,575","$40,072,200 ","$480,866,400 ",30,96707,"96,707",1.5%,"$467,188,256 ","29,010",30.0%,"$154,236,640 ","34,591",35.8%,"$132,398,624 ","54,084",55.9%,"$246,409,200 ","2,059",2.1%,"$10,607,001 ","58,820",2.1%,"$272,294,656 ","66,758",69.0%,"$351,566,656 ","42,537",44.0%,"$184,254,448 ","245,283","$2,329,118,592 ","$117,029,504 ","$1,404,354,048 ","57,575","$40,072,200 ","$480,866,400 ",50,105302,162877,57575
20,Maine,15274,"15,274",0.4%,"$67,807,048 ","2,500",16.4%,"$13,427,346 ","7,328",48.0%,"$23,820,930 ",383,2.5%,"$1,926,285 ",96,0.6%,"$706,124 ","1,270",8.3%,"$6,361,552 ","12,762",83.6%,"$59,867,736 ","9,454",61.9%,"$35,814,728 ","37,091","$367,279,224 ","$16,156,982 ","$193,883,784 ","13,716","$9,834,372 ","$118,012,464 ",30,26707,"26,707",0.4%,"$108,247,344 ","4,276",16.0%,"$21,119,558 ","13,612",51.0%,"$44,213,760 ",527,2.0%,"$2,420,099 ",138,0.5%,"$809,553 ","1,966",0.5%,"$8,697,359 ","14,024",52.5%,"$64,806,972 ","13,827",51.8%,"$51,092,796 ","63,770","$655,949,472 ","$25,003,052 ","$300,036,624 ","13,716","$9,834,372 ","$118,012,464 ",50,23375,37091,13716
21,Maryland,63521,"63,521",1.6%,"$536,832,352 ","16,433",25.9%,"$174,897,216 ","28,788",45.3%,"$197,703,792 ","30,282",47.7%,"$241,591,040 ",786,1.2%,"$9,424,529 ","35,924",56.6%,"$297,152,352 ","41,373",65.1%,"$376,047,616 ","29,301",46.1%,"$200,344,960 ","181,290","$2,768,792,064 ","$139,983,104 ","$1,679,797,248 ","56,694","$61,853,154 ","$742,237,848 ",30,105242,"105,242",1.6%,"$804,438,080 ","30,604",29.1%,"$272,167,008 ","44,243",42.0%,"$291,769,216 ","48,892",46.5%,"$351,863,488 ","1,431",1.4%,"$13,356,035 ","57,915",1.4%,"$430,793,056 ","46,054",43.8%,"$407,884,256 ","38,486",36.6%,"$254,236,992 ","307,328","$4,599,612,672 ","$209,973,104 ","$2,519,677,248 ","56,694","$61,853,154 ","$742,237,848 ",50,124596,181290,56694
22,Massachusetts,100856,"100,856",2.6%,"$728,898,752 ","19,866",19.7%,"$175,744,480 ","52,853",52.4%,"$282,598,272 ","11,170",11.1%,"$81,339,872 ",537,0.5%,"$5,947,224 ","21,698",21.5%,"$183,682,336 ","64,705",64.2%,"$519,943,360 ","52,274",51.8%,"$273,763,680 ","294,948","$3,691,497,600 ","$204,994,464 ","$2,459,933,568 ","95,439","$97,538,658 ","$1,170,463,896 ",30,151716,"151,716",2.4%,"$1,051,785,088 ","33,026",21.8%,"$263,842,832 ","75,347",49.7%,"$415,293,568 ","16,682",11.0%,"$117,036,912 ",985,0.6%,"$9,128,938 ","31,329",0.6%,"$249,650,368 ","69,801",46.0%,"$557,500,736 ","64,622",42.6%,"$340,406,240 ","451,979","$5,923,799,808 ","$294,724,768 ","$3,536,697,216 ","95,439","$97,538,658 ","$1,170,463,896 ",50,199509,294948,95439
